id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39622971,Rental unit in Barcelona · ★4.60 · 1 bedroom · 2 beds · 1 private bath,1361670,Nina Termi,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3863,2.1764,Private room,79,31,15,2022-11-14,0.38,2,128,5,
39272882,Rental unit in Barcelona · 3 bedrooms · 3 beds · 1 bath,1447144,Acomodis Apartments,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3845,2.17963,Entire home/apt,269,2,0,,,141,365,0,HUTB-003808
39880908,Rental unit in Barcelona · 2 bedrooms · 1 bed · 1 shared bath,3716721,Luciana,Eixample,la Dreta de l'Eixample,41.39522,2.17348,Private room,30,2,0,,,1,0,0,
39641672,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath,304618784,Myriam,Eixample,el Fort Pienc,41.40021,2.17934,Private room,37,2,1,2019-11-04,0.02,1,0,0,
39649635,Rental unit in Barcelona · 2 bedrooms · 2 beds · 1 shared bath,144455590,Adrià,Sants-Montjuïc,la Bordeta,41.36975,2.13435,Private room,65,2,1,2022-08-10,0.10,1,160,1,
39891110,Rental unit in Barcelona · ★4.89 · 1 bedroom · 1 bed · 1 bath,115346751,Guido,Ciutat Vella,el Barri Gòtic,41.38111,2.17633,Entire home/apt,166,5,88,2023-05-17,2.13,2,55,38,HUTB-002719
39960458,Rental unit in Barcelona  · ★3.89 · 1 bedroom · 1 bed · 1 bath,307504641,Orobium,Gràcia,la Salut,41.40863543656856,2.151165457445055,Entire home/apt,145,1,9,2023-05-18,0.89,6,334,9,HUTB-004520
39962133,Rental unit in Barcelona · 1 bedroom · 1 bath,308092623,Diego,Gràcia,la Vila de Gràcia,41.40261,2.15998,Private room,80,1,1,2019-11-17,0.02,1,0,0,
39894836,Condo in Barcelona · ★4.44 · 1 bedroom · 2 beds · 1 bath,10783346,Daniel,Eixample,Sant Antoni,41.38355,2.16365,Entire home/apt,121,1,62,2023-05-28,1.48,1,2,33,Exempt
39963637,Rental unit in Barcelona · 1 bedroom · 1 bed · 1.5 shared baths,1351777,Antonio,Horta-Guinardó,el Guinardó,41.41852,2.17633,Private room,22,30,0,,,3,0,0,
39967048,Rental unit in Barcelona · 2 bedrooms · 5 beds · 1 bath,1447144,Acomodis Apartments,Sants-Montjuïc,el Poble Sec,41.37147,2.16759,Entire home/apt,217,1,0,,,141,195,0,HUTB-000219
39670377,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath,304887443,Keyla Julissa,Eixample,la Dreta de l'Eixample,41.38748,2.16708,Private room,50,2,1,2019-11-02,0.02,1,0,0,
39680521,casa particular in Barcelona · 1 bedroom · 1 bed · 1 bath,303051071,Aurelio,Sarrià-Sant Gervasi,Sarrià,41.3915,2.11993,Private room,20,30,0,,,1,0,0,
39683083,Rental unit in Barcelona · ★3.0 · 2 bedrooms · 3 beds · 1 bath,265193861,Joaquim,Ciutat Vella,la Barceloneta,41.38138,2.18886,Entire home/apt,65,32,3,2023-01-31,0.15,129,263,1,
39897027,Rental unit in Barcelona · ★5.0 · 2 bedrooms · 1 bed · 2 baths,410246,Iván,Ciutat Vella,el Raval,41.37847,2.16588,Entire home/apt,55,32,11,2023-05-01,0.49,2,57,6,
39683659,Rental unit in Barcelona · 1 bedroom · 2 beds · 1 shared bath,24213046,Gissola,Sants-Montjuïc,la Font de la Guatlla,41.3734,2.14734,Private room,28,3,1,2020-01-04,0.02,2,0,0,
39970195,Rental unit in Barcelona · ★5.0 · 1 bedroom · 1 bed · 2 baths,308155490,Maria,Eixample,la Dreta de l'Eixample,41.39741,2.17429,Private room,75,1,10,2020-03-01,0.23,1,0,0,
39970655,Rental unit in Barcelona · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,308157973,Nicole,Eixample,la Dreta de l'Eixample,41.39473,2.15934,Private room,40,1,15,2020-03-14,0.35,1,0,0,
39907960,Rental unit in Barcelona · 3 bedrooms · 4 beds · 2.5 baths,3039107,Manuel,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,41.40568,2.1344,Entire home/apt,70,86,0,,,35,196,0,
40205000,Loft in Barcelona · ★4.78 · 1 bedroom · 2 beds · 1 bath,310503827,Carlos,Ciutat Vella,el Barri Gòtic,41.38219,2.17709,Entire home/apt,63,31,23,2023-06-07,0.90,1,105,4,Exempt
39909653,Rental unit in Barcelona · 2 bedrooms · 5 beds · 1 bath,1447144,Acomodis Apartments,Ciutat Vella,el Barri Gòtic,41.38304,2.17892,Entire home/apt,234,3,1,2022-07-27,0.09,141,265,1,HUTB-002780
39919028,Rental unit in Barcelona · 1 bedroom · 1 bath,307606763,Lucas,Sant Martí,el Besòs i el Maresme,41.41525,2.21538,Private room,50,1,0,,,1,0,0,
40205628,Rental unit in Barcelona · ★4.96 · 2 bedrooms · 3 beds · 2 baths,45069320,Gonzalo,Eixample,la Sagrada Família,41.40344,2.18219,Entire home/apt,279,1,73,2023-05-20,1.73,1,245,61,HUTB-012665
39977419,Rental unit in Barcelona · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,31500681,Cristina,Eixample,la Sagrada Família,41.4067,2.1813,Private room,42,7,3,2022-03-18,0.07,1,50,0,Exempt
39980672,Rental unit in Barcelona · ★4.75 · 1 bedroom · 1 bed · 2 shared baths,304318776,Andrea&Lana&Alejandro,Eixample,la Dreta de l'Eixample,41.39645,2.17063,Private room,107,1,131,2023-06-02,3.02,2,60,94,
39919958,Guest suite in Barcelona · ★4.78 · 2 bedrooms · 5 beds · 1 bath,239477794,Maria,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3883,2.17967,Entire home/apt,183,32,64,2023-06-03,1.48,1,28,33,Exempt
